阿城, 黑龙江省哈尔滨市阿城区会宁路61号, √, √, √, 哈尔滨铁路局, 车站
麦园, 福建省漳平市新桥镇碧灵南路25号, √, 　, 　, 南昌铁路局, 车站
闽清, 福建省闽清县梅溪镇梅埔村483号, √, 　, 　, 南昌铁路局, 车站
南昌, 江西省南昌市二七南路213号, √, √, √, 南昌铁路局, 车站
南昌西, 江西省南昌市红角洲, √, 　, 　, 南昌铁路局, 车站
南城, 江西省南城县建昌镇南城火车站, √, 　, 　, 南昌铁路局, 车站
南丰, 江西省南丰县洽湾镇南丰火车站, √, 　, 　, 南昌铁路局, 车站
南靖, 福建省漳州市南靖火车站, √, 　, 　, 南昌铁路局, 车站
南平, 福建省南平市橫排路49号, √, √, √, 南昌铁路局, 车站
南平南, 福建省南平市水东工业路100号, √, 　, 　, 南昌铁路局, 车站
宁德, 福建省宁德市东桥区樟湾镇土尾村, √, 　, 　, 南昌铁路局, 车站
彭泽, 江西省彭泽县芙蓉镇凉亭村, √, 　, 　, 南昌铁路局, 车站
萍乡, 江西省萍乡市站前路, √, √, √, 南昌铁路局, 车站
莆田, 福建省莆田市秀屿区笏石镇莆田火车站, √, 　, 　, 南昌铁路局, 车站
泉州, 福建省泉州丰泽区高铁火车站, √, 　, 　, 南昌铁路局, 车站
泉州东, 福建省泉州市城东火车站, √, 　, 　, 南昌铁路局, 车站
瑞昌, 江西省瑞昌市农贸街, √, 　, 　, 南昌铁路局, 车站
瑞金, 江西省瑞金市象湖镇, √, 　, 　, 南昌铁路局, 车站
三明, 福建省三明市三元区工业南路117号, √, √, √, 南昌铁路局, 车站
三明北, 福建省三明北火车站（三明沙县洋坊）, √, 　, 　, 南昌铁路局, 车站
上杭, 福建省龙岩市上杭县蛟洋乡坪埔村, √, 　, 　, 南昌铁路局, 车站
上饶, 江西省上饶市信州区沙溪镇松山村, √, √, √, 南昌铁路局, 车站
邵武, 福建省邵武市解放中路344号, √, 　, 　, 南昌铁路局, 车站
顺昌, 福建省顺昌县双溪街道货场路1号, √, 　, 　, 南昌铁路局, 车站
太姥山, 福建省福鼎市秦屿镇, √, 　, 　, 南昌铁路局, 车站
泰和, 江西省泰和县澄江镇, √, 　, 　, 南昌铁路局, 车站
泰宁, 福建省泰宁火车站（泰宁县杉城镇丰岩村丰元工业园区附近）, √, 　, 　, 南昌铁路局, 车站
万年, 江西省万年县陈应镇建明路1号, √, 　, 　, 南昌铁路局, 车站
武夷山, 福建省武夷山市综合农场站前路, √, √, √, 南昌铁路局, 车站
峡江, 江西省吉安市峡江县峡江火车站, √, 　, 　, 南昌铁路局, 车站
霞浦, 福建省霞浦县赤岸村, √, 　, 　, 南昌铁路局, 车站
厦门, 福建省厦门市厦禾路900号, √, √, √, 南昌铁路局, 车站
厦门北, 福建省厦门市集美区后溪镇岩内村, √, 　, 　, 南昌铁路局, 车站
厦门高崎, 福建省厦门湖里区中埔高崎火车站, √, √　, √, 南昌铁路局, 车站
向塘, 江西省南昌县向塘镇火车站, √, √, √, 南昌铁路局, 车站
新干, 江西省新干县善政路, √, 　, 　, 南昌铁路局, 车站
新余, 江西省新余市渝水区胜利北路1号, √, √, √, 南昌铁路局, 车站
信丰, 江西省信丰县嘉定镇, √, 　, 　, 南昌铁路局, 车站
兴国, 江西省兴国县潋江镇, √, 　, 　, 南昌铁路局, 车站
炎陵, 湖南省株洲市炎陵县炎陵霞阳东路, √, 　, 　, 南昌铁路局, 车站
宜春西, 江西省宜春市平安路533号, √, 　, 　, 南昌铁路局, 车站
弋阳, 江西省上饶地区弋阳县弋江镇东站南路31号, √, 　, 　, 南昌铁路局, 车站
鹰潭, 江西省鹰潭市月湖区四海路1号, √, √, √, 南昌铁路局, 车站
永安, 福建省永安市燕江东路永安火车站, √, √, √, 南昌铁路局, 车站
永定, 福建省龙岩市永定县凤城镇永定门, √, 　, 　, 南昌铁路局, 车站
永泰, 福建省永泰火车站（永泰刘歧村立塘）, √, 　, 　, 南昌铁路局, 车站
永修, 江西省永修县永修火车站, √, 　, 　, 南昌铁路局, 车站
攸县, 湖南省株洲市攸县城关镇永佳社区, √, 　, 　, 南昌铁路局, 车站
尤溪, 福建省尤溪火车站（三明尤溪县西城镇）, √, 　, 　, 南昌铁路局, 车站
于都, 江西省于都县贡江镇, √, 　, 　, 南昌铁路局, 车站
余江, 江西省余江县邓埠镇站前北路, √, 　, 　, 南昌铁路局, 车站
玉山, 江西省玉山县冰溪镇后垄村墩上, √, 　, 　, 南昌铁路局, 车站
云霄, 福建省云霄县莆美镇马山村火车站, √, 　, 　, 南昌铁路局, 车站
漳平, 福建省漳平市站前路, √, √, √, 南昌铁路局, 车站
漳浦, 福建省漳浦县大南坂镇漳浦火车站, √, 　, 　, 南昌铁路局, 车站
漳州？, 福建省漳州市龙海颜厝镇, √, 　, 　, 南昌铁路局, 车站
漳州东, 福建省漳州市龙文区郭坑镇, √, √, √, 南昌铁路局, 车站
樟树, 江西省樟树市吴城路1号, √, 　, 　, 南昌铁路局, 车站
樟树东, 江西省樟树市阁山镇, √, 　, 　, 南昌铁路局, 车站
诏安, 福建省漳州市诏安县西潭乡诏安动车站, √, 　, 　, 南昌铁路局, 车站
资溪, 江西省资溪县鹤城镇, √, 　, 　, 南昌铁路局, 车站
安仁, 湖南省安仁县军山乡芙塘村, √, 　, 　, 南昌铁路局, 乘降所
安溪, 福建省泉州市安溪县城厢镇砖文村, √, 　, 　, 南昌铁路局, 乘降所
茶陵, 湖南省茶陵县思聪乡老虎山车站路, √, 　, 　, 南昌铁路局, 乘降所
茶陵南, 湖南省茶陵县下东乡桥边街道, √, 　, 　, 南昌铁路局, 乘降所
长汀, 福建省龙岩市长汀县汀州镇, √, 　, 　, 南昌铁路局, 乘降所
崇仁, 江西省抚州市崇仁县巴山镇站前路1号, √, 　, 　, 南昌铁路局, 乘降所
德安, 江西省德安县东风路, √, 　, 　, 南昌铁路局, 乘降所
定南, 江西省定南县历市镇, √, 　, 　, 南昌铁路局, 乘降所
东乡, 江西省东乡县迎宾大道站前路, √, 　, 　, 南昌铁路局, 乘降所
分宜, 江西省分宜县站前路, √, 　, 　, 南昌铁路局, 乘降所
丰城, 江西省丰城市站前西路104号, √, 　, 　, 南昌铁路局, 乘降所
丰城南, 江西省丰城市荣塘镇, √, 　, 　, 南昌铁路局, 乘降所
福安, 福建省福安市湾坞村, √, 　, 　, 南昌铁路局, 乘降所
福鼎, 福建省福鼎市丹岐村, √, 　, 　, 南昌铁路局, 乘降所
福清, 福建省福清市龙江街道苍霞村福清火车站, √, 　, 　, 南昌铁路局, 乘降所
福州, 福建省福州市晋安区华林路502号, √, √, √, 南昌铁路局, 乘降所
福州南, 福建省福州市仓山区城门镇胪雷村站前路1号, √, 　, 　, 南昌铁路局, 乘降所
抚州, 江西省抚州市高新技术开发区揭暄大道抚州火车站, √, 　, 　, 南昌铁路局, 乘降所
抚州北, 江西省抚州市工业园区, √, 　, 　, 南昌铁路局, 乘降所
赣州, 江西省赣州市章贡区沙河镇, √, √, √, 南昌铁路局, 乘降所
共青城, 江西省共青城甘露区, √, 　, 　, 南昌铁路局, 乘降所
古田, 福建省古田市黄田镇, √, 　, 　, 南昌铁路局, 乘降所
冠豸山, 福建省龙岩市连城县朋口镇, √, 　, 　, 南昌铁路局, 乘降所
光泽, 福建省光泽县坪山路, √, 　, 　, 南昌铁路局, 乘降所
贵溪, 江西省鹰潭市贵溪市建设路, √, 　, 　, 南昌铁路局, 乘降所
涵江, 福建省莆田市涵江火车站, √, 　, 　, 南昌铁路局, 乘降所
横峰, 江西省横峰火车站, √, 　, 　, 南昌铁路局, 乘降所
湖口, 江西湖口县马影镇许文桥村, √, 　, 　, 南昌铁路局, 乘降所
华安, 福建省华安县华丰镇, √, 　, 　, 南昌铁路局, 乘降所
吉安, 江西省吉安市青原区河东街道, √, 　, 　, 南昌铁路局, 乘降所
建宁县北, 福建省建宁县北火车站（黄坊乡武调村）, √, 　, 　, 南昌铁路局, 乘降所
建瓯, 福建省建瓯市七里街, √, 　, 　, 南昌铁路局, 乘降所
建阳, 福建省建阳市童游镇, √, 　, 　, 南昌铁路局, 乘降所
江边村, 江西省抚州市乐安县公溪镇, √, 　, 　, 南昌铁路局, 乘降所
将乐, 福建省将乐县火车站（玉华村旁）, √, 　, 　, 南昌铁路局, 乘降所
角美, 福州市漳州市角美台商投资区角美火车站, √, 　, 　, 南昌铁路局, 乘降所
进贤, 江西省进贤县中山路火车站, √, 　, 　, 南昌铁路局, 乘降所
晋江, 福建省晋江市内坑镇上方村, √, 　, 　, 南昌铁路局, 乘降所
井冈山, 江西省井冈山市拿山乡火车站, √, 　, 　, 南昌铁路局, 乘降所
景德镇, 江西省景德镇市通站路32号, √, √, √, 南昌铁路局, 乘降所
九江, 江西九江市长虹大道288号, √, √, √, 南昌铁路局, 乘降所
来舟, 福建省南平市来舟镇站前路9号, √, 　, 　, 南昌铁路局, 乘降所
乐平市, 江西省乐平市迎宾路1号, √, 　, 　, 南昌铁路局, 乘降所
醴陵, 湖南省醴陵市解放路1号, √, √, √, 南昌铁路局, 乘降所
连江, 福建省连江县江南乡花坞村, √, 　, 　, 南昌铁路局, 乘降所
临川, 江西省抚州市临川区温泉镇, √, 　, 　, 南昌铁路局, 乘降所
龙南, 江西省龙南县里仁镇, √, 　, 　, 南昌铁路局, 乘降所
龙山镇, 福建省南靖县龙山镇火车站, √, 　, 　, 南昌铁路局, 乘降所
龙市, 江西省井冈山市龙市镇龙市火车站, √, 　, 　, 南昌铁路局, 乘降所
龙岩, 福建省龙岩市新罗区人民路, √, 　, 　, 南昌铁路局, 乘降所
庐山, 江西省九江县柴桑南路号, √, 　, 　, 南昌铁路局, 乘降所
芦溪, 江西省萍乡市芦溪县年丰村, √, 　, 　, 南昌铁路局, 乘降所
罗源, 福建省罗源县松山镇百花村, √, 　, 　, 南昌铁路局, 乘降所
麦园, 福建省漳平市新桥镇碧灵南路25号, √, 　, 　, 南昌铁路局, 乘降所
闽清, 福建省闽清县梅溪镇梅埔村483号, √, 　, 　, 南昌铁路局, 乘降所
南昌, 江西省南昌市二七南路213号, √, √, √, 南昌铁路局, 乘降所
南昌西, 江西省南昌市红角洲, √, 　, 　, 南昌铁路局, 乘降所
南城, 江西省南城县建昌镇南城火车站, √, 　, 　, 南昌铁路局, 乘降所
南丰, 江西省南丰县洽湾镇南丰火车站, √, 　, 　, 南昌铁路局, 乘降所
南靖, 福建省漳州市南靖火车站, √, 　, 　, 南昌铁路局, 乘降所
南平, 福建省南平市橫排路49号, √, √, √, 南昌铁路局, 乘降所
南平南, 福建省南平市水东工业路100号, √, 　, 　, 南昌铁路局, 乘降所
宁德, 福建省宁德市东桥区樟湾镇土尾村, √, 　, 　, 南昌铁路局, 乘降所
彭泽, 江西省彭泽县芙蓉镇凉亭村, √, 　, 　, 南昌铁路局, 乘降所
萍乡, 江西省萍乡市站前路, √, √, √, 南昌铁路局, 乘降所
莆田, 福建省莆田市秀屿区笏石镇莆田火车站, √, 　, 　, 南昌铁路局, 乘降所
泉州, 福建省泉州丰泽区高铁火车站, √, 　, 　, 南昌铁路局, 乘降所
泉州东, 福建省泉州市城东火车站, √, 　, 　, 南昌铁路局, 乘降所
瑞昌, 江西省瑞昌市农贸街, √, 　, 　, 南昌铁路局, 乘降所
瑞金, 江西省瑞金市象湖镇, √, 　, 　, 南昌铁路局, 乘降所
三明, 福建省三明市三元区工业南路117号, √, √, √, 南昌铁路局, 乘降所
三明北, 福建省三明北火车站（三明沙县洋坊）, √, 　, 　, 南昌铁路局, 乘降所
上杭, 福建省龙岩市上杭县蛟洋乡坪埔村, √, 　, 　, 南昌铁路局, 乘降所
上饶, 江西省上饶市信州区沙溪镇松山村, √, √, √, 南昌铁路局, 乘降所
邵武, 福建省邵武市解放中路344号, √, 　, 　, 南昌铁路局, 乘降所
顺昌, 福建省顺昌县双溪街道货场路1号, √, 　, 　, 南昌铁路局, 乘降所
太姥山, 福建省福鼎市秦屿镇, √, 　, 　, 南昌铁路局, 乘降所
泰和, 江西省泰和县澄江镇, √, 　, 　, 南昌铁路局, 乘降所
泰宁, 福建省泰宁火车站（泰宁县杉城镇丰岩村丰元工业园区附近）, √, 　, 　, 南昌铁路局, 乘降所
万年, 江西省万年县陈应镇建明路1号, √, 　, 　, 南昌铁路局, 乘降所
武夷山, 福建省武夷山市综合农场站前路, √, √, √, 南昌铁路局, 乘降所
峡江, 江西省吉安市峡江县峡江火车站, √, 　, 　, 南昌铁路局, 乘降所
霞浦, 福建省霞浦县赤岸村, √, 　, 　, 南昌铁路局, 乘降所
厦门, 福建省厦门市厦禾路900号, √, √, √, 南昌铁路局, 乘降所
厦门北, 福建省厦门市集美区后溪镇岩内村, √, 　, 　, 南昌铁路局, 乘降所
厦门高崎, 福建省厦门湖里区中埔高崎火车站, √, √　, √, 南昌铁路局, 乘降所
向塘, 江西省南昌县向塘镇火车站, √, √, √, 南昌铁路局, 乘降所
新干, 江西省新干县善政路, √, 　, 　, 南昌铁路局, 乘降所
新余, 江西省新余市渝水区胜利北路1号, √, √, √, 南昌铁路局, 乘降所
信丰, 江西省信丰县嘉定镇, √, 　, 　, 南昌铁路局, 乘降所
兴国, 江西省兴国县潋江镇, √, 　, 　, 南昌铁路局, 乘降所
炎陵, 湖南省株洲市炎陵县炎陵霞阳东路, √, 　, 　, 南昌铁路局, 乘降所
宜春西, 江西省宜春市平安路533号, √, 　, 　, 南昌铁路局, 乘降所
弋阳, 江西省上饶地区弋阳县弋江镇东站南路31号, √, 　, 　, 南昌铁路局, 乘降所
鹰潭, 江西省鹰潭市月湖区四海路1号, √, √, √, 南昌铁路局, 乘降所
永安, 福建省永安市燕江东路永安火车站, √, √, √, 南昌铁路局, 乘降所
永定, 福建省龙岩市永定县凤城镇永定门, √, 　, 　, 南昌铁路局, 乘降所
永泰, 福建省永泰火车站（永泰刘歧村立塘）, √, 　, 　, 南昌铁路局, 乘降所
永修, 江西省永修县永修火车站, √, 　, 　, 南昌铁路局, 乘降所
攸县, 湖南省株洲市攸县城关镇永佳社区, √, 　, 　, 南昌铁路局, 乘降所
尤溪, 福建省尤溪火车站（三明尤溪县西城镇）, √, 　, 　, 南昌铁路局, 乘降所
于都, 江西省于都县贡江镇, √, 　, 　, 南昌铁路局, 乘降所
余江, 江西省余江县邓埠镇站前北路, √, 　, 　, 南昌铁路局, 乘降所
玉山, 江西省玉山县冰溪镇后垄村墩上, √, 　, 　, 南昌铁路局, 乘降所
云霄, 福建省云霄县莆美镇马山村火车站, √, 　, 　, 南昌铁路局, 乘降所
漳平, 福建省漳平市站前路, √, √, √, 南昌铁路局, 乘降所
漳浦, 福建省漳浦县大南坂镇漳浦火车站, √, 　, 　, 南昌铁路局, 乘降所
漳州？, 福建省漳州市龙海颜厝镇, √, 　, 　, 南昌铁路局, 乘降所
漳州东, 福建省漳州市龙文区郭坑镇, √, √, √, 南昌铁路局, 乘降所
樟树, 江西省樟树市吴城路1号, √, 　, 　, 南昌铁路局, 乘降所
樟树东, 江西省樟树市阁山镇, √, 　, 　, 南昌铁路局, 乘降所
诏安, 福建省漳州市诏安县西潭乡诏安动车站, √, 　, 　, 南昌铁路局, 乘降所
资溪, 江西省资溪县鹤城镇, √, 　, 　, 南昌铁路局, 乘降所
安化, 湖南省安化县坪口镇, √, 　, 　, 广铁集团, 车站
北滘, 广东省广东省佛山市顺德区北滘镇西海村群力路与三乐路交叉口轻轨北滘站, √, 　, 　, 广铁集团, 车站
碧江, 广东省广东省佛山市顺德区北滘镇碧江村长宁路17号对面, √, 　, 　, 广铁集团, 车站
博鳌, 海南省琼海市中原镇博鳌火车站, √, 　, 　, 广铁集团, 车站
长沙, 湖南省长沙市车站中路406号, √, √, √, 广铁集团, 车站
长沙南, 湖南省长沙市雨花区花侯路, √, 　, 　, 广铁集团, 车站
常德, 湖南省常德市武陵大道北段, √, √, √, 广铁集团, 车站
常平, 广东省东莞市常平镇口岸大道13号, √, √, √, 广铁集团, 车站
潮汕, 广东省潮汕市潮安县沙溪镇, √, 　, 　, 广铁集团, 车站
潮阳, 广东省汕头市潮阳区, √, 　, 　, 广铁集团, 车站
潮州, 广东省潮州市安揭路, √, √, √, 广铁集团, 车站
郴州, 湖南省郴州市解放路1号, √, √, √, 广铁集团, 车站
郴州西, 湖南省郴州市开发区增湖路, √, 　, 　, 广铁集团, 车站
辰溪, 湖南省辰溪县火马冲, √, 　, 　, 广铁集团, 车站
慈利, 湖南省张家界市慈利县零阳镇, √, 　, 　, 广铁集团, 车站
大埔, 广东省梅州市大埔县三河镇, √, 　, 　, 广铁集团, 车站
低庄, 湖南省溆浦县低庄镇, √, 　, 　, 广铁集团, 车站
东升, 广东省中山市小榄镇东升轻轨站, √, 　, 　, 广铁集团, 车站
东莞, 广东省东莞市石龙镇西湖区环湖西路, √, 　, 　, 广铁集团, 车站
东莞东, 广东省东莞市常平镇麦元乡, √, 　, 　, 广铁集团, 车站
丰顺, 广东省丰顺县, √, 　, 　, 广铁集团, 车站
佛山, 广东省广东省佛山市禅城区站前路30号, √, √, √, 广铁集团, 车站
高州, 广东省高州市山美管区同进村高州火车站, √, 　, 　, 广铁集团, 车站
古镇, 广东省中山市古镇镇旺来工业区对面古镇轻轨站, √, 　, 　, 广铁集团, 车站
光明城, 广东省广东省深圳市光明区, √, 　, 　, 广铁集团, 车站
广州, 广东省广州市环市西路１５９号, √, √, √, 广铁集团, 车站
广州北, 广东省广州市花都区站前路1号, √, 　, 　, 广铁集团, 车站
广州东, 广东省广州市天河区东站路一号　, √, √, √, 广铁集团, 车站
广州南, 广东省广州市番禺区钟村镇石壁村广州南车站, √, 　, 　, 广铁集团, 车站
海口, 海南省海口市秀英区粤海大道, √, √, √, 广铁集团, 车站
海口东, 海南省海口市迎宾大道凤翔路与龙昆南路交界处海口火车东公交站, √, 　, 　, 广铁集团, 车站
和平, 广东省河源市和平县, √, 　, 　, 广铁集团, 车站
河源, 广东省河源市建设大道西站前路, √, √, √, 广铁集团, 车站
衡山, 湖南省衡阳市衡山县, √, 　, 　, 广铁集团, 车站
衡山西, 湖南省衡山县开云镇, √, 　, 　, 广铁集团, 车站
衡阳, 湖南省衡阳市珠晖区车站坪1号, √, √, √, 广铁集团, 车站
衡阳东, 湖南省衡阳市珠晖区衡州街道, √, 　, 　, 广铁集团, 车站
鮜门, 广东省汕尾市海丰县鲘门镇, √, 　, 　, 广铁集团, 车站
虎门, 广东省东莞市虎门镇, √, 　, 　, 广铁集团, 车站
华城, 广东省梅州市五华县, √, 　, 　, 广铁集团, 车站
怀化, 湖南省怀化市鹤洲路1号, √, √, √, 广铁集团, 车站
会同, 湖南省会同县林城镇建设路, √, 　, 　, 广铁集团, 车站
惠东, 广东省惠东县稔山镇, √, 　, 　, 广铁集团, 车站
惠州, 广东省惠州市江北, √, √, √, 广铁集团, 车站
惠州南, 广东省惠州市惠阳区, √, 　, 　, 广铁集团, 车站
惠州西, 广东省惠州市惠城区共联村, √, 　, 　, 广铁集团, 车站
吉首, 湖南省吉首市光明东路, √, √, √, 广铁集团, 车站
江门, 广东省江门市江海区五邑路江门城轨站, √, 　, 　, 广铁集团, 车站
揭阳, 广东省揭阳市榕城区, √, √, √, 广铁集团, 车站
靖州, 湖南省靖州苗族洞族自治县渠阳镇下熙街1号, √, 　, 　, 广铁集团, 车站
葵潭, 广东省惠来县葵潭镇, √, 　, 　, 广铁集团, 车站
乐昌, 广东省乐昌市昌山中路22号, √, 　, 　, 广铁集团, 车站
雷州, 广东省雷州市洪富村, √, 　, 　, 广铁集团, 车站
耒阳, 湖南省耒阳市灶市街道办事处车站路1号, √, 　, 　, 广铁集团, 车站
耒阳西, 湖南省耒阳市三顺办事处, √, 　, 　, 广铁集团, 车站
冷水江东, 湖南省冷水江市毛易镇金竹东路, √, 　, 　, 广铁集团, 车站
澧县, 湖南省常德市澧县金罗镇, √, 　, 　, 广铁集团, 车站
涟源, 湖南省涟源市车站路1号, √, 　, 　, 广铁集团, 车站
临湘, 湖南省临湘市火车站北街76号, √, 　, 　, 广铁集团, 车站
陵水, 海南省陵水县县城怡景湾宾馆前马路往陵水火车站, √, 　, 　, 广铁集团, 车站
龙川, 广东省龙川县, √, √, √, 广铁集团, 车站
娄底, 湖南省娄底市娄星区氐星路, √, √, √, 广铁集团, 车站
陆丰, 广东省于陆丰市城东镇, √, 　, 　, 广铁集团, 车站
路口铺, 湖南省岳阳市, √, √　, √, 广铁集团, 车站
麻阳, 湖南省怀化市麻阳县高村镇, √, 　, 　, 广铁集团, 车站
茂名东, 广东省茂名市站前五路, √, 　, 　, 广铁集团, 车站
梅州, 广东省梅州市彬芳南路, √, √, √, 广铁集团, 车站
美兰, 海南省海口市美兰区美兰机场海南航空交通管理站斜对面, √, 　, 　, 广铁集团, 车站
猛洞河, 湖南省湘西自治州古丈县罗依溪镇, √, 　, 　, 广铁集团, 车站
汨罗, 湖南省汨罗市新站路, √, 　, 　, 广铁集团, 车站
汨罗东, 湖南省汨罗市龙舟南路？, √, 　, 　, 广铁集团, 车站
明珠, 广东省珠海市香洲区明珠北路35号, √, 　, 　, 广铁集团, 车站
南朗, 广东省中山市南朗镇佳朗路, √, 　, 　, 广铁集团, 车站
南头, 广东省中山市南头镇南头大道, √, 　, 　, 广铁集团, 车站
坪石, 广东省乐昌市坪石镇, √, 　, 　, 广铁集团, 车站
普宁, 广东省普宁市流沙镇, √, 　, 　, 广铁集团, 车站
祁东, 湖南省衡阳市祁东县双桥镇林星村, √, 　, 　, 广铁集团, 车站
祁阳, 湖南省祁阳县浯溪镇长虹村站前路, √, 　, 　, 广铁集团, 车站
前山, 广东省珠海市香洲区前山港昌路666号, √, 　, 　, 广铁集团, 车站
清远, 广东省清远市清城区洲心镇洲沙村武广清远站, √, 　, 　, 广铁集团, 车站
庆盛, 广东省广州市南沙区东涌镇庆盛村庆沙路88号, √, 　, 　, 广铁集团, 车站
琼海, 海南省琼海市爱华东路嘉积镇琼海火车站, √, 　, 　, 广铁集团, 车站
饶平, 广东省潮州市饶平县高堂镇, √, 　, 　, 广铁集团, 车站
容桂, 广东省广东省佛山市顺德区容桂街道扁滘村广珠城际铁路容桂轻轨站站, √, 　, 　, 广铁集团, 车站
三水, 广东省广东省佛山市三水区站前街1号, √, 　, 　, 广铁集团, 车站
三亚, 海南省三亚市育秀路10号三亚火车站, √, 　, 　, 广铁集团, 车站
汕头, 广东省汕头市泰山路61号, √, √, √, 广铁集团, 车站
汕尾, 广东省汕尾市东涌镇, √, 　, 　, 广铁集团, 车站
韶关, 广东省韶关市武江区西联武广韶关站？, √, 　, 　, 广铁集团, 车站
韶关东, 广东省韶关市浈江区站南路1号, √, √, √, 广铁集团, 车站
韶山, 湖南省韶山市清溪镇, √, 　, 　, 广铁集团, 车站
邵东, 湖南省邵东县两市镇, √, 　, 　, 广铁集团, 车站
邵阳, 湖南省邵阳市大祥区城南乡邵洲路, √, √, √, 广铁集团, 车站
深圳, 广东省深圳市罗湖区建设路1003号, √, √, √, 广铁集团, 车站
深圳北, 广东省深圳市龙华新区民治街道民塘路, √, 　, 　, 广铁集团, 车站
深圳东, 广东省深圳市龙岗区布吉街道办吉华路94号, √, 　, 　, 广铁集团, 车站
深圳坪山, 广东省深圳市龙岗区坪山新区, √, 　, 　, 广铁集团, 车站
深圳西, 广东省深圳市南山区学府西路, √, √, √, 广铁集团, 车站
神州, 海南省万宁市礼纪镇莲花村, √, 　, 　, 广铁集团, 车站
石门县北, 湖南省常德市石门县东城, √, 　, 　, 广铁集团, 车站
顺德, 广东省佛山市顺德区伦教镇三洲村北傍中路, √, 　, 　, 广铁集团, 车站
顺德学院, 广东省佛山市顺德区大良街道兆利大街逢沙村, √, 　, 　, 广铁集团, 车站
松桃, 贵州省松桃县孟溪镇, √, 　, 　, 广铁集团, 车站
唐家湾, 广东省珠海市高新区金凤路399号, √, 　, 　, 广铁集团, 车站
通道, 湖南省通道县县溪镇, √, 　, 　, 广铁集团, 车站
铜仁, 贵州省铜仁市清水北路1号, √, √, √, 广铁集团, 车站
万宁, 海南省万宁市万安大道环市二西路, √, 　, 　, 广铁集团, 车站
文昌, 海南省文昌市南阳镇宝鸡新村文昌火车站, √, 　, 　, 广铁集团, 车站
湘潭, 湖南省湘潭市雨湖区车站路556号, √, 　, 　, 广铁集团, 车站
湘乡, 湖南省湘乡市车站路, √, √, √, 广铁集团, 车站
小榄, 广东省中山市小榄镇绩东一民安中路, √, 　, 　, 广铁集团, 车站
新化, 湖南省新化县天华南路, √, 　, 　, 广铁集团, 车站
新晃, 湖南省新晃侗族自治县　, √, 　, 　, 广铁集团, 车站
新会, 广东省江门市新会区东甲村, √, 　, 　, 广铁集团, 车站
信宜, 广东省茂名市信宜市东镇镇塘面村, √, 　, 　, 广铁集团, 车站
兴宁, 广东省兴宁市兴南大道末端, √, 　, 　, 广铁集团, 车站
徐闻, 广东省徐闻县城北区, √, 　, 　, 广铁集团, 车站
溆浦, 湖南省溆浦县卢峰镇, √, 　, 　, 广铁集团, 车站
亚龙湾, 海南省三亚市吉阳镇吉阳大道亚龙湾火车站, √, 　, 　, 广铁集团, 车站
阳春, 广东省阳春市, √, 　, 　, 广铁集团, 车站
益阳, 湖南省益阳市朝阳开发区迎宾西路445号, √, √, √, 广铁集团, 车站
英德, 广东省英德市大站镇, √, 　, 　, 广铁集团, 车站
英德西, 广东省英德市英城街道长岭村委会英德西站, √, 　, 　, 广铁集团, 车站
永州, 湖南省永州市冷水滩区潇湘大道, √, 　, 　, 广铁集团, 车站
源潭, 广东省清远市清城区源潭镇跃进路1号, √, 　, 　, 广铁集团, 车站
岳阳, 湖南省岳阳市站前路, √, √, √, 广铁集团, 车站
岳阳东, 湖南省岳阳市巴陵路东端, √, 　, 　, 广铁集团, 车站
湛江西, 广东省湛江市麻章区英豪村, √, 　, 　, 广铁集团, 车站
张家界, 湖南省张家界市永定区官黎坪乡, √, √, √, 广铁集团, 车站
樟木头, 广东省东莞市樟木头镇, √, 　, 　, 广铁集团, 车站
肇庆, 广东省肇庆市站北路, √, √, √, 广铁集团, 车站
中山, 广东省中山市火炬开发区泗门村建宁路城轨中山站, √, 　, 　, 广铁集团, 车站
中山北, 广东省中山市石岐区民盈西路1号, √, 　, 　, 广铁集团, 车站
株洲, 湖南省株洲市芦淞区人民中路103号, √, √, √, 广铁集团, 车站
株洲西, 湖南省株洲市天元区群丰镇响塘村炎帝大道, √, 　, 　, 广铁集团, 车站
珠海, 广东省珠海市香洲区昌盛路5号, √, √, √, 广铁集团, 车站
珠海北, 广东省珠海市香洲区高新区金峰北路300号, √, 　, 　, 广铁集团, 车站
安化, 湖南省安化县坪口镇, √, 　, 　, 广铁集团, 乘降所
北滘, 广东省广东省佛山市顺德区北滘镇西海村群力路与三乐路交叉口轻轨北滘站, √, 　, 　, 广铁集团, 乘降所
碧江, 广东省广东省佛山市顺德区北滘镇碧江村长宁路17号对面, √, 　, 　, 广铁集团, 乘降所
博鳌, 海南省琼海市中原镇博鳌火车站, √, 　, 　, 广铁集团, 乘降所
长沙, 湖南省长沙市车站中路406号, √, √, √, 广铁集团, 乘降所
长沙南, 湖南省长沙市雨花区花侯路, √, 　, 　, 广铁集团, 乘降所
常德, 湖南省常德市武陵大道北段, √, √, √, 广铁集团, 乘降所
常平, 广东省东莞市常平镇口岸大道13号, √, √, √, 广铁集团, 乘降所
潮汕, 广东省潮汕市潮安县沙溪镇, √, 　, 　, 广铁集团, 乘降所
潮阳, 广东省汕头市潮阳区, √, 　, 　, 广铁集团, 乘降所
潮州, 广东省潮州市安揭路, √, √, √, 广铁集团, 乘降所
郴州, 湖南省郴州市解放路1号, √, √, √, 广铁集团, 乘降所
